Epoch,Independent,Position,PositionWeighted,Sigmoid0.5,Sigmoid0.5Cal,Sigmoid1,Sigmoid2,Sigmoid5
0,4.4278,5.1138,4.7447,7.8911,5.0095,7.9993,4.0830,2.6105
1,4.3499,4.7193,4.4624,13.1959,13.1262,4.5815,11.7962,2.7550
2,4.3031,4.8074,5.0752,16.0856,5.2274,4.6426,4.0613,3.2393
3,3.2597,3.9798,4.2550,24.6117,5.9883,17.8933,3.8611,2.6802
4,4.1314,3.5245,4.0446,4.7964,8.0617,3.9536,3.2266,2.4211
5,3.8618,3.5134,3.9485,26.2234,5.7534,3.4158,3.6516,3.0869
6,3.7175,3.6063,3.6063,3.4156,5.0879,3.9066,3.1171,2.3225
7,4.0032,3.5355,3.5355,3.8431,3.3917,2.5040,2.8273,2.5788
8,3.0106,2.6296,2.6296,3.8280,3.1941,3.8435,2.7952,2.3348
9,3.6313,3.1716,2.9747,4.4839,2.4187,8.3829,2.2986,2.0946
10,2.9676,3.8082,3.3129,17.7679,3.6087,3.4043,3.5549,2.5702
11,2.8962,2.7027,2.7027,5.0241,3.8204,3.9178,2.3095,1.6467
12,3.3012,2.2683,2.2683,5.6094,4.0831,2.4455,1.9726,1.1706
13,2.4557,3.6053,3.2581,4.9166,2.9183,3.6635,2.3653,1.7175
14,2.8766,2.1474,2.1474,3.4259,2.7872,2.4912,3.0404,1.7186
15,3.1485,2.7187,2.2862,2.2862,2.3491,3.2295,2.2348,1.7419
16,3.2728,3.2572,3.2572,3.7370,1.9756,2.1006,2.3887,2.4311
17,3.5306,2.5367,2.5367,2.5561,2.9524,2.8499,1.1203,1.8595
18,2.9045,2.4920,3.0130,4.1349,3.2636,2.2539,1.7051,1.8309
19,2.8418,1.5347,2.3219,5.0595,4.1699,2.3171,2.3384,1.7177
